ANO;MÊS;DIA;HORA;360MIN;180MIN;CANAL;qtd_ENTs;TMC;TME
2021;7;15;11;Q1;QQ2;TELEFONIA;4;36,5;0
2021;7;15;13;Q1;QQ2;TELEFONIA;3;17;0
2021;7;15;16;Q2;QQ3;TELEFONIA;1;29;0
2021;7;28;9;Q1;QQ1;TELEFONIA;4;11,75;0
2021;8;5;8;Q1;QQ1;TELEFONIA;1;0;2
2021;8;6;9;Q1;QQ1;TELEFONIA;2;80;0
2021;8;6;10;Q1;QQ1;TELEFONIA;2;54;0
2021;8;6;11;Q1;QQ2;TELEFONIA;1;10;0
2021;8;6;14;Q2;QQ3;TELEFONIA;1;15;0
2021;8;6;15;Q2;QQ3;TELEFONIA;2;7,5;0
2021;8;12;17;Q2;QQ4;TELEFONIA;2;39;5
2021;9;8;15;Q2;QQ3;TELEFONIA;4;0;34,25
2021;9;8;16;Q2;QQ3;TELEFONIA;9;46,33;19,67
2021;9;9;11;Q1;QQ2;TELEFONIA;4;63,5;0
2021;9;9;18;Q2;QQ4;TELEFONIA;2;26,5;0
2021;9;10;12;Q1;QQ2;TELEFONIA;1;0;3550
2021;9;13;9;Q1;QQ1;TELEFONIA;1;0;1252
2021;9;13;10;Q1;QQ1;TELEFONIA;1;0;2197
2021;9;13;14;Q2;QQ3;TELEFONIA;1;0;100
2021;9;14;13;Q1;QQ2;TELEFONIA;1;0;309
2021;9;15;8;Q1;QQ1;TELEFONIA;2;0;76
2021;9;15;10;Q1;QQ1;TELEFONIA;1;0;35
2021;9;15;16;Q2;QQ3;TELEFONIA;1;0;14
2021;9;16;12;Q1;QQ2;TELEFONIA;1;0;103
2021;9;17;10;Q1;QQ1;TELEFONIA;1;0;1016
2021;9;20;17;Q2;QQ4;TELEFONIA;1;0;762
2021;9;21;9;Q1;QQ1;TELEFONIA;1;0;190
2021;9;21;10;Q1;QQ1;TELEFONIA;5;6;50
2021;9;21;11;Q1;QQ2;TELEFONIA;4;13,75;0
2021;9;21;12;Q1;QQ2;TELEFONIA;2;4;0
2021;9;21;14;Q2;QQ3;TELEFONIA;5;156,25;2
2021;9;21;15;Q2;QQ3;TELEFONIA;1;0;45
2021;9;21;17;Q2;QQ4;TELEFONIA;1;0;137
2021;9;21;18;Q2;QQ4;TELEFONIA;1;0;34
2021;9;22;9;Q1;QQ1;TELEFONIA;3;0;236
2021;9;22;12;Q1;QQ2;TELEFONIA;1;0;95
2021;9;22;16;Q2;QQ3;TELEFONIA;2;81;0
2021;9;23;10;Q1;QQ1;TELEFONIA;2;0;849,5
2021;9;23;13;Q1;QQ2;TELEFONIA;1;0;12
2021;9;24;8;Q1;QQ1;TELEFONIA;1;0;84
2021;9;24;11;Q1;QQ2;TELEFONIA;1;0;14
2021;9;27;8;Q1;QQ1;TELEFONIA;5;97,6;0
2021;9;27;13;Q1;QQ2;TELEFONIA;1;0;186
2021;9;27;15;Q2;QQ3;TELEFONIA;3;171;0
2021;9;27;17;Q2;QQ4;TELEFONIA;1;12;0
2021;9;28;8;Q1;QQ1;TELEFONIA;1;0;268
2021;9;28;15;Q2;QQ3;TELEFONIA;2;33;6,5
2021;9;29;8;Q1;QQ1;TELEFONIA;1;21;0
2021;9;29;9;Q1;QQ1;TELEFONIA;1;20;0
2021;9;29;10;Q1;QQ1;TELEFONIA;2;12;31
2021;9;29;15;Q2;QQ3;TELEFONIA;4;67;0
2021;9;29;17;Q2;QQ4;TELEFONIA;1;34;0
2021;9;29;18;Q2;QQ4;TELEFONIA;2;16,5;0
2021;9;30;7;Q1;QQ1;TELEFONIA;1;0;30
2021;9;30;8;Q1;QQ1;TELEFONIA;1;0;369
2021;9;30;10;Q1;QQ1;TELEFONIA;1;0;47
2021;10;1;10;Q1;QQ1;TELEFONIA;1;0;344
2021;10;1;12;Q1;QQ2;TELEFONIA;1;0;1294
2021;10;4;8;Q1;QQ1;TELEFONIA;1;0;2052
2021;10;4;10;Q1;QQ1;TELEFONIA;1;0;139
2021;10;4;14;Q2;QQ3;TELEFONIA;4;0;19,75
2021;10;5;8;Q1;QQ1;TELEFONIA;1;0;430
2021;10;5;11;Q1;QQ2;TELEFONIA;1;0;86
2021;10;5;14;Q2;QQ3;TELEFONIA;4;35;0
2021;10;5;15;Q2;QQ3;TELEFONIA;3;171,33;0
2021;10;5;16;Q2;QQ3;TELEFONIA;4;295,33;591,2475
2021;10;5;17;Q2;QQ4;TELEFONIA;7;322,43;0
