ANO;MÊS;DIA;HORA;qtdDiasUteis;TotalLIGs;MédiaLIGs;TotalAtds;MédiaAtds;Ligs/Atds
2018;1;2;19:00;21;3;0.14;NULL;NULL;NULL
2021;7;15;11:00;22;4;0.18;NULL;NULL;NULL
2021;7;15;13:00;22;3;0.14;NULL;NULL;NULL
2021;7;15;16:00;22;1;0.05;NULL;NULL;NULL
2021;7;28;09:00;22;4;0.18;NULL;NULL;NULL
2021;8;2;16:00;21;2;0.10;NULL;NULL;NULL
2021;8;5;08:00;21;3;0.14;NULL;NULL;NULL
2021;8;6;09:00;21;2;0.10;NULL;NULL;NULL
2021;8;6;10:00;21;2;0.10;NULL;NULL;NULL
2021;8;6;11:00;21;1;0.05;NULL;NULL;NULL
2021;8;6;14:00;21;1;0.05;NULL;NULL;NULL
2021;8;6;15:00;21;2;0.10;NULL;NULL;NULL
2021;8;12;17:00;21;2;0.10;NULL;NULL;NULL
2021;9;8;15:00;21;4;0.19;NULL;NULL;NULL
2021;9;8;16:00;21;9;0.43;NULL;NULL;NULL
2021;9;9;11:00;21;4;0.19;0;0.00;4
2021;9;9;18:00;21;2;0.10;0;0.00;2
2021;9;10;12:00;21;1;0.05;NULL;NULL;NULL
2021;9;13;09:00;21;1;0.05;NULL;NULL;NULL
2021;9;13;10:00;21;1;0.05;NULL;NULL;NULL
2021;9;13;14:00;21;1;0.05;NULL;NULL;NULL
2021;9;14;13:00;21;1;0.05;NULL;NULL;NULL
2021;9;15;08:00;21;2;0.10;NULL;NULL;NULL
2021;9;15;10:00;21;1;0.05;NULL;NULL;NULL
2021;9;15;11:00;21;1;0.05;NULL;NULL;NULL
2021;9;15;16:00;21;1;0.05;NULL;NULL;NULL
2021;9;15;17:00;21;1;0.05;NULL;NULL;NULL
2021;9;16;12:00;21;2;0.10;NULL;NULL;NULL
2021;9;17;10:00;21;1;0.05;NULL;NULL;NULL
2021;9;20;17:00;21;2;0.10;NULL;NULL;NULL
2021;9;21;09:00;21;1;0.05;NULL;NULL;NULL
2021;9;21;10:00;21;5;0.24;NULL;NULL;NULL
2021;9;21;11:00;21;4;0.19;NULL;NULL;NULL
2021;9;21;12:00;21;2;0.10;NULL;NULL;NULL
2021;9;21;14:00;21;5;0.24;NULL;NULL;NULL
2021;9;21;15:00;21;1;0.05;NULL;NULL;NULL
2021;9;21;17:00;21;1;0.05;NULL;NULL;NULL
2021;9;21;18:00;21;1;0.05;NULL;NULL;NULL
2021;9;22;09:00;21;3;0.14;NULL;NULL;NULL
2021;9;22;12:00;21;1;0.05;NULL;NULL;NULL
2021;9;22;16:00;21;2;0.10;NULL;NULL;NULL
2021;9;23;10:00;21;2;0.10;NULL;NULL;NULL
2021;9;23;13:00;21;2;0.10;NULL;NULL;NULL
2021;9;24;08:00;21;1;0.05;NULL;NULL;NULL
2021;9;24;11:00;21;1;0.05;NULL;NULL;NULL
2021;9;27;08:00;21;5;0.24;NULL;NULL;NULL
2021;9;27;13:00;21;1;0.05;NULL;NULL;NULL
2021;9;27;15:00;21;3;0.14;NULL;NULL;NULL
2021;9;27;17:00;21;1;0.05;NULL;NULL;NULL
2021;9;28;08:00;21;1;0.05;NULL;NULL;NULL
2021;9;28;15:00;21;2;0.10;NULL;NULL;NULL
2021;9;29;08:00;21;1;0.05;NULL;NULL;NULL
2021;9;29;09:00;21;1;0.05;NULL;NULL;NULL
2021;9;29;10:00;21;2;0.10;NULL;NULL;NULL
2021;9;29;12:00;21;1;0.05;NULL;NULL;NULL
2021;9;29;15:00;21;4;0.19;NULL;NULL;NULL
2021;9;29;17:00;21;1;0.05;NULL;NULL;NULL
2021;9;29;18:00;21;2;0.10;NULL;NULL;NULL
2021;9;30;07:00;21;1;0.05;NULL;NULL;NULL
